"error.rate"	"length"	"mode"	"statistic"	"mean"
0.2	1000000	"WFA-med"	"time_s"	3299.2974
0.2	1000000	"WFA-low"	"memory_kb"	12792809.6
0.2	1000000	"WFA-low"	"time_s"	4637.5602
0.2	1000000	"wfalm"	"memory_kb"	NA
0.2	1000000	"wfalm"	"time_s"	NA
0.2	1000000	"wfalm-low"	"memory_kb"	31667168.8
0.2	1000000	"wfalm-low"	"time_s"	4284.5787
0.2	1000000	"wfalm-recursive"	"memory_kb"	895974.4
0.2	1000000	"wfalm-recursive"	"time_s"	17192.1546
0.2	1000000	"BiWFA"	"memory_kb"	188693.2
0.2	1000000	"BiWFA"	"time_s"	679.1497
0.2	2000000	"edlib (edit distance)"	"memory_kb"	22866
0.2	2000000	"edlib (edit distance)"	"time_s"	133.1206
0.2	2000000	"bitpal (score only)"	"memory_kb"	14093.6
0.2	2000000	"bitpal (score only)"	"time_s"	495.3001
0.2	2000000	"ksw2-extz2-sse"	"memory_kb"	NA
0.2	2000000	"ksw2-extz2-sse"	"time_s"	NA
0.2	2000000	"WFA-high"	"memory_kb"	NA
0.2	2000000	"WFA-high"	"time_s"	NA
0.2	2000000	"WFA-med"	"memory_kb"	NA
0.2	2000000	"WFA-med"	"time_s"	NA
0.2	2000000	"WFA-low"	"memory_kb"	26806071.6
0.2	2000000	"WFA-low"	"time_s"	19875.3767
0.2	2000000	"wfalm"	"memory_kb"	NA
0.2	2000000	"wfalm"	"time_s"	NA
0.2	2000000	"wfalm-low"	"memory_kb"	70846954.8
0.2	2000000	"wfalm-low"	"time_s"	16810.1221
0.2	2000000	"wfalm-recursive"	"memory_kb"	1876448.4
0.2	2000000	"wfalm-recursive"	"time_s"	73095.8061
0.2	2000000	"BiWFA"	"memory_kb"	253237.2
0.2	2000000	"BiWFA"	"time_s"	2830.0755
0.3	50000	"edlib (edit distance)"	"memory_kb"	4087.2
